Local Authority,Sum of Value,Measures,Year,Quarter,Month,Attribute
Blackburn with Darwen,17.9,Confidence,2022,Qtr 2,June,% of  ethnic minority males of  aged 16-64 who are economically inactive
Blackburn with Darwen,11.7,Confidence,2022,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
Blackburn with Darwen,11.1,Confidence,2022,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
Blackburn with Darwen,5.1,Confidence,2022,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
Blackburn with Darwen,9.1,Confidence,2022,Qtr 2,June,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,12.2,Confidence,2022,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,13.8,Confidence,2022,Qtr 2,June,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,14.1,Confidence,2022,Qtr 4,December,% of  ethnic minority aged 16-64 who are economically inactive
Blackburn with Darwen,20.7,Confidence,2022,Qtr 4,December,% of  ethnic minority females of  aged 16-64 who are economically inactive
Blackburn with Darwen,12.2,Confidence,2022,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
Blackburn with Darwen,12,Confidence,2022,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
Blackburn with Darwen,5.4,Confidence,2022,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
Blackburn with Darwen,10.1,Confidence,2022,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,12.7,Confidence,2022,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,16.2,Confidence,2022,Qtr 4,December,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,13.8,Confidence,2023,Qtr 2,June,% of  ethnic minority aged 16-64 who are economically inactive
Blackburn with Darwen,20.6,Confidence,2023,Qtr 2,June,% of  ethnic minority females of  aged 16-64 who are economically inactive
Blackburn with Darwen,13.5,Confidence,2023,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
Blackburn with Darwen,14.4,Confidence,2023,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
Blackburn with Darwen,6.2,Confidence,2023,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
Blackburn with Darwen,11.3,Confidence,2023,Qtr 2,June,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,14.4,Confidence,2023,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,18.5,Confidence,2023,Qtr 2,June,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,13.7,Confidence,2023,Qtr 4,December,% of  ethnic minority aged 16-64 who are economically inactive
Blackburn with Darwen,19.4,Confidence,2023,Qtr 4,December,% of  ethnic minority females of  aged 16-64 who are economically inactive
Blackburn with Darwen,15.2,Confidence,2023,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
Blackburn with Darwen,13.9,Confidence,2023,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
Blackburn with Darwen,6.6,Confidence,2023,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
Blackburn with Darwen,10.9,Confidence,2023,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,13.8,Confidence,2023,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,18.2,Confidence,2023,Qtr 4,December,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,12.6,Confidence,2024,Qtr 2,June,% of  ethnic minority aged 16-64 who are economically inactive
Blackburn with Darwen,18.1,Confidence,2024,Qtr 2,June,% of  ethnic minority females of  aged 16-64 who are economically inactive
Blackburn with Darwen,14.3,Confidence,2024,Qtr 2,June,% of  ethnic minority males of  aged 16-64 who are economically inactive
Blackburn with Darwen,12.9,Confidence,2024,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
Blackburn with Darwen,14,Confidence,2024,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
Blackburn with Darwen,6,Confidence,2024,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
Blackburn with Darwen,9.1,Confidence,2024,Qtr 2,June,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,11.5,Confidence,2024,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,15.1,Confidence,2024,Qtr 2,June,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,12,Confidence,2024,Qtr 4,December,% of  ethnic minority aged 16-64 who are economically inactive
Blackburn with Darwen,17.3,Confidence,2024,Qtr 4,December,% of  ethnic minority females of  aged 16-64 who are economically inactive
Blackburn with Darwen,15.9,Confidence,2024,Qtr 4,December,% of  ethnic minority males of  aged 16-64 who are economically inactive
Blackburn with Darwen,11.1,Confidence,2024,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
Blackburn with Darwen,12.8,Confidence,2024,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
Blackburn with Darwen,5.3,Confidence,2024,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
Blackburn with Darwen,8.9,Confidence,2024,Qtr 4,December,16+ unemployment rate - ethnic minority
Blackburn with Darwen,8.2,Confidence,2024,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,10.4,Confidence,2024,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,13.2,Confidence,2024,Qtr 4,December,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,10.5,Confidence,2025,Qtr 2,June,% of  ethnic minority aged 16-64 who are economically inactive
Blackburn with Darwen,14.9,Confidence,2025,Qtr 2,June,% of  ethnic minority females of  aged 16-64 who are economically inactive
