Local Authority,Attribute,Financial Year,Sum of Value
Burnley Borough Council,Household - other sources (not recycled) (tonnes),2019,2069
Burnley Borough Council,Household - other sources (not recycled) (tonnes),2020,2237
Burnley Borough Council,Household - other sources (not recycled) (tonnes),2021,2630
Burnley Borough Council,Household - other sources (not recycled) (tonnes),2022,2268
Burnley Borough Council,Household - other sources (not recycled) (tonnes),2023,2710
Burnley Borough Council,Household - regular collection (not recycled) (tonnes),2014,17626
Burnley Borough Council,Household - regular collection (not recycled) (tonnes),2015,16584
Burnley Borough Council,Household - regular collection (not recycled) (tonnes),2016,16694
Burnley Borough Council,Household - regular collection (not recycled) (tonnes),2017,16934
Burnley Borough Council,Household - regular collection (not recycled) (tonnes),2018,16975
Burnley Borough Council,Household - regular collection (not recycled) (tonnes),2019,17475
Burnley Borough Council,Household - regular collection (not recycled) (tonnes),2020,19683
Burnley Borough Council,Household - regular collection (not recycled) (tonnes),2021,18522
Burnley Borough Council,Household - regular collection (not recycled) (tonnes),2022,17961
Burnley Borough Council,Household - regular collection (not recycled) (tonnes),2023,17947
Burnley Borough Council,Household - total waste (tonnes),2014,28989
Burnley Borough Council,Household - total waste (tonnes),2015,29833
Burnley Borough Council,Household - total waste (tonnes),2016,29468
Burnley Borough Council,Household - total waste (tonnes),2017,28633
Burnley Borough Council,Household - total waste (tonnes),2018,28661
Burnley Borough Council,Household - total waste (tonnes),2019,28976
Burnley Borough Council,Household - total waste (tonnes),2020,33085
Burnley Borough Council,Household - total waste (tonnes),2021,31579
Burnley Borough Council,Household - total waste (tonnes),2022,29736
Burnley Borough Council,Household - total waste (tonnes),2023,30535
Burnley Borough Council,Household - waste not sent for recycling (tonnes),2014,19813
Burnley Borough Council,Household - waste not sent for recycling (tonnes),2015,19307
Burnley Borough Council,Household - waste not sent for recycling (tonnes),2016,19006
Burnley Borough Council,Household - waste not sent for recycling (tonnes),2017,19241
Burnley Borough Council,Household - waste not sent for recycling (tonnes),2018,19357
Burnley Borough Council,Household - waste not sent for recycling (tonnes),2019,19657
Burnley Borough Council,Household - waste not sent for recycling (tonnes),2020,22065
Burnley Borough Council,Household - waste not sent for recycling (tonnes),2021,21423
Burnley Borough Council,Household - waste not sent for recycling (tonnes),2022,20367
Burnley Borough Council,Household - waste not sent for recycling (tonnes),2023,20873
Burnley Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2014,9176
Burnley Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2015,10526
Burnley Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2016,10462
Burnley Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2017,9392
Burnley Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2018,9304
Burnley Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2019,9319
Burnley Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2020,11020
Burnley Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2021,10155
Burnley Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2022,9369
Burnley Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2023,9662
Burnley Borough Council,Household dry recycling-reuse (tonnes),2014,5847
Burnley Borough Council,Household dry recycling-reuse (tonnes),2015,6273
Burnley Borough Council,Household dry recycling-reuse (tonnes),2016,6435
Burnley Borough Council,Household dry recycling-reuse (tonnes),2017,6276
Burnley Borough Council,Household dry recycling-reuse (tonnes),2018,5990
Burnley Borough Council,Household dry recycling-reuse (tonnes),2019,5989
Burnley Borough Council,Household dry recycling-reuse (tonnes),2020,7321
Burnley Borough Council,Household dry recycling-reuse (tonnes),2021,7002
Burnley Borough Council,Household dry recycling-reuse (tonnes),2022,6620
Burnley Borough Council,Household dry recycling-reuse (tonnes),2023,6448
Burnley Borough Council,Household green recycling-reuse (tonnes),2014,3330
Burnley Borough Council,Household green recycling-reuse (tonnes),2015,4253
Burnley Borough Council,Household green recycling-reuse (tonnes),2016,4028
Burnley Borough Council,Household green recycling-reuse (tonnes),2017,3116
Burnley Borough Council,Household green recycling-reuse (tonnes),2018,3315
Burnley Borough Council,Household green recycling-reuse (tonnes),2019,3330
Burnley Borough Council,Household green recycling-reuse (tonnes),2020,3699
Burnley Borough Council,Household green recycling-reuse (tonnes),2021,3153
Burnley Borough Council,Household green recycling-reuse (tonnes),2022,2749
Burnley Borough Council,Household green recycling-reuse (tonnes),2023,3214
Burnley Borough Council,Local authority collected - estimated rejects (tonnes),2014,0
Burnley Borough Council,Local authority collected - estimated rejects (tonnes),2015,82
Burnley Borough Council,Local authority collected - estimated rejects (tonnes),2016,22
Burnley Borough Council,Local authority collected - estimated rejects (tonnes),2017,-1
Burnley Borough Council,Local authority collected - estimated rejects (tonnes),2018,24
Burnley Borough Council,Local authority collected - estimated rejects (tonnes),2019,114
Burnley Borough Council,Local authority collected - estimated rejects (tonnes),2020,145
Burnley Borough Council,Local authority collected - estimated rejects (tonnes),2021,272
Burnley Borough Council,Local authority collected - estimated rejects (tonnes),2022,137
Burnley Borough Council,Local authority collected - estimated rejects (tonnes),2023,216
Burnley Borough Council,Local authority collected waste - not sent for recycling (tonnes),2014,20600
Burnley Borough Council,Local authority collected waste - not sent for recycling (tonnes),2015,20048
Burnley Borough Council,Local authority collected waste - not sent for recycling (tonnes),2016,20119
Burnley Borough Council,Local authority collected waste - not sent for recycling (tonnes),2017,20361
Burnley Borough Council,Local authority collected waste - not sent for recycling (tonnes),2018,20733
Burnley Borough Council,Local authority collected waste - not sent for recycling (tonnes),2019,21538
Burnley Borough Council,Local authority collected waste - not sent for recycling (tonnes),2020,24596
Burnley Borough Council,Local authority collected waste - not sent for recycling (tonnes),2021,24420
Burnley Borough Council,Local authority collected waste - not sent for recycling (tonnes),2022,23232
Burnley Borough Council,Local authority collected waste - not sent for recycling (tonnes),2023,23598
Burnley Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2014,9176
Burnley Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2015,10750
Burnley Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2016,10462
Burnley Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2017,9450
Burnley Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2018,9471
Burnley Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2019,9577
Burnley Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2020,11315
Burnley Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2021,10566
Burnley Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2022,9773
Burnley Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2023,10055
Burnley Borough Council,Non-household - estimated rejects (tonnes),2014,0
Burnley Borough Council,Non-household - estimated rejects (tonnes),2015,0
Burnley Borough Council,Non-household - estimated rejects (tonnes),2016,0
Burnley Borough Council,Non-household - estimated rejects (tonnes),2017,0
Burnley Borough Council,Non-household - estimated rejects (tonnes),2018,0
Burnley Borough Council,Non-household - estimated rejects (tonnes),2019,0
Burnley Borough Council,Non-household - estimated rejects (tonnes),2020,0
Burnley Borough Council,Non-household - estimated rejects (tonnes),2021,0
Burnley Borough Council,Non-household - estimated rejects (tonnes),2022,0
Burnley Borough Council,Non-household - estimated rejects (tonnes),2023,0
Burnley Borough Council,Non-household - total waste (tonnes),2014,787
Burnley Borough Council,Non-household - total waste (tonnes),2015,965
Burnley Borough Council,Non-household - total waste (tonnes),2016,1114
Burnley Borough Council,Non-household - total waste (tonnes),2017,1178
Burnley Borough Council,Non-household - total waste (tonnes),2018,1543
Burnley Borough Council,Non-household - total waste (tonnes),2019,2138
Burnley Borough Council,Non-household - total waste (tonnes),2020,2825
Burnley Borough Council,Non-household - total waste (tonnes),2021,3408
Burnley Borough Council,Non-household - total waste (tonnes),2022,3270
Burnley Borough Council,Non-household - total waste (tonnes),2023,3117
Burnley Borough Council,Non-household - waste not sent for recycling (tonnes),2014,787
Burnley Borough Council,Non-household - waste not sent for recycling (tonnes),2015,741
Burnley Borough Council,Non-household - waste not sent for recycling (tonnes),2016,1114
Burnley Borough Council,Non-household - waste not sent for recycling (tonnes),2017,1120
Burnley Borough Council,Non-household - waste not sent for recycling (tonnes),2018,1377
Burnley Borough Council,Non-household - waste not sent for recycling (tonnes),2019,1881
Burnley Borough Council,Non-household - waste not sent for recycling (tonnes),2020,2530
Burnley Borough Council,Non-household - waste not sent for recycling (tonnes),2021,2997
Burnley Borough Council,Non-household - waste not sent for recycling (tonnes),2022,2865
Burnley Borough Council,Non-household - waste not sent for recycling (tonnes),2023,2724
Burnley Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2014,0
Burnley Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2015,224
Burnley Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2016,0
Burnley Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2017,58
Burnley Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2018,166
