Local Authority,Sex,Statistics,Time period,Indicator Name,Age,Sum of Value
Lancashire,Male,Upper CI 99.8 limit,2020-2022,Violent crime - hospital admissions for violence (including sexual violence),All ages,84.48963
Lancashire,Male,Upper CI 99.8 limit,2021-2023,Violent crime - hospital admissions for violence (including sexual violence),All ages,75.42142
Lancashire,Male,Upper CI 99.8 limit,2022-2024,Violent crime - hospital admissions for violence (including sexual violence),All ages,71.96562
Lancashire,Male,Upper CI 99.8 limit,2023-2025,Violent crime - hospital admissions for violence (including sexual violence),All ages,59.7812
Lancashire,Male,Value,2010-2012,Violent crime - hospital admissions for violence (including sexual violence),All ages,118.84434
Lancashire,Male,Value,2011-2013,Violent crime - hospital admissions for violence (including sexual violence),All ages,108.64138
Lancashire,Male,Value,2012-2014,Violent crime - hospital admissions for violence (including sexual violence),All ages,102.35702
Lancashire,Male,Value,2013-2015,Violent crime - hospital admissions for violence (including sexual violence),All ages,95.02718
Lancashire,Male,Value,2014-2016,Violent crime - hospital admissions for violence (including sexual violence),All ages,89.5405
Lancashire,Male,Value,2015-2017,Violent crime - hospital admissions for violence (including sexual violence),All ages,80.68848
Lancashire,Male,Value,2016-2018,Violent crime - hospital admissions for violence (including sexual violence),All ages,74.0257
Lancashire,Male,Value,2017,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,252.6
Lancashire,Male,Value,2017-2019,Violent crime - hospital admissions for violence (including sexual violence),All ages,71.3858
Lancashire,Male,Value,2018,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,275.1
Lancashire,Male,Value,2018-2020,Violent crime - hospital admissions for violence (including sexual violence),All ages,76.5914
Lancashire,Male,Value,2019,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,269.1
Lancashire,Male,Value,2019-2021,Violent crime - hospital admissions for violence (including sexual violence),All ages,74.12912
Lancashire,Male,Value,2020,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,270
Lancashire,Male,Value,2020-2022,Violent crime - hospital admissions for violence (including sexual violence),All ages,77.72401
Lancashire,Male,Value,2021,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,286.5
Lancashire,Male,Value,2021-2023,Violent crime - hospital admissions for violence (including sexual violence),All ages,69.06074
Lancashire,Male,Value,2022,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,309.7
Lancashire,Male,Value,2022-2024,Violent crime - hospital admissions for violence (including sexual violence),All ages,65.80519
Lancashire,Male,Value,2023,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,345
Lancashire,Male,Value,2023-2025,Violent crime - hospital admissions for violence (including sexual violence),All ages,54.21203
Lancashire,Persons,Count,2010-2012,Violent crime - hospital admissions for violence (including sexual violence),All ages,2620
Lancashire,Persons,Count,2011-2013,Violent crime - hospital admissions for violence (including sexual violence),All ages,2395
Lancashire,Persons,Count,2012-2014,Violent crime - hospital admissions for violence (including sexual violence),All ages,2230
Lancashire,Persons,Count,2013,Mental Health: QOF prevalence,All ages,10229
Lancashire,Persons,Count,2013-2015,Violent crime - hospital admissions for violence (including sexual violence),All ages,2065
Lancashire,Persons,Count,2014,Mental Health: QOF prevalence,All ages,10471
Lancashire,Persons,Count,2014,Smoking: QOF prevalence,15+ yrs,196979
Lancashire,Persons,Count,2014-2016,Violent crime - hospital admissions for violence (including sexual violence),All ages,1930
Lancashire,Persons,Count,2015,Mental Health: QOF prevalence,All ages,10934
Lancashire,Persons,Count,2015,Smoking: QOF prevalence,15+ yrs,192469
Lancashire,Persons,Count,2015-2017,Violent crime - hospital admissions for violence (including sexual violence),All ages,1740
Lancashire,Persons,Count,2016,Mental Health: QOF prevalence,All ages,11403
Lancashire,Persons,Count,2016,Smoking: QOF prevalence,15+ yrs,189294
Lancashire,Persons,Count,2016,"Violent crime - sexual offences per 1,000 population",All ages,1670
Lancashire,Persons,Count,2016,"Violent crime - violence offences per 1,000 population",All ages,17891
Lancashire,Persons,Count,2016-2018,Violent crime - hospital admissions for violence (including sexual violence),All ages,1605
Lancashire,Persons,Count,2017,Mental Health: QOF prevalence,All ages,11902
Lancashire,Persons,Count,2017,Reoffending levels: percentage of offenders who reoffend,All ages,2420
Lancashire,Persons,Count,2017,Smoking: QOF prevalence,15+ yrs,186029
Lancashire,Persons,Count,2017,"Violent crime - sexual offences per 1,000 population",All ages,2032
Lancashire,Persons,Count,2017,"Violent crime - violence offences per 1,000 population",All ages,21092
Lancashire,Persons,Count,2017-2019,Violent crime - hospital admissions for violence (including sexual violence),All ages,1570
Lancashire,Persons,Count,2018,Mental Health: QOF prevalence,All ages,12398
Lancashire,Persons,Count,2018,Reoffending levels: percentage of offenders who reoffend,All ages,2499
Lancashire,Persons,Count,2018,Smoking: QOF prevalence,15+ yrs,181822
Lancashire,Persons,Count,2018,"Violent crime - sexual offences per 1,000 population",All ages,2729
Lancashire,Persons,Count,2018,"Violent crime - violence offences per 1,000 population",All ages,28359
Lancashire,Persons,Count,2018-2020,Violent crime - hospital admissions for violence (including sexual violence),All ages,1670
Lancashire,Persons,Count,2019,Mental Health: QOF prevalence,All ages,12861
Lancashire,Persons,Count,2019,Reoffending levels: percentage of offenders who reoffend,All ages,2116
Lancashire,Persons,Count,2019,Smoking: QOF prevalence,15+ yrs,178969
Lancashire,Persons,Count,2019,"Violent crime - sexual offences per 1,000 population",All ages,3504
Lancashire,Persons,Count,2019,"Violent crime - violence offences per 1,000 population",All ages,44526
Lancashire,Persons,Count,2019-2021,Violent crime - hospital admissions for violence (including sexual violence),All ages,1615
Lancashire,Persons,Count,2020,Mental Health: QOF prevalence,All ages,12406
Lancashire,Persons,Count,2020,Reoffending levels: percentage of offenders who reoffend,All ages,1796
Lancashire,Persons,Count,2020,Smoking: QOF prevalence,15+ yrs,176711
Lancashire,Persons,Count,2020,"Violent crime - sexual offences per 1,000 population",All ages,2920
Lancashire,Persons,Count,2020,"Violent crime - violence offences per 1,000 population",All ages,38799
Lancashire,Persons,Count,2020-2022,Violent crime - hospital admissions for violence (including sexual violence),All ages,1685
Lancashire,Persons,Count,2021,Mental Health: QOF prevalence,All ages,12915
Lancashire,Persons,Count,2021,Reoffending levels: percentage of offenders who reoffend,All ages,1354
Lancashire,Persons,Count,2021,Smoking: QOF prevalence,15+ yrs,172414
Lancashire,Persons,Count,2021,"Violent crime - sexual offences per 1,000 population",All ages,2578
Lancashire,Persons,Count,2021,"Violent crime - violence offences per 1,000 population",All ages,36329
Lancashire,Persons,Count,2021-2023,Violent crime - hospital admissions for violence (including sexual violence),All ages,1530
Lancashire,Persons,Count,2022,Mental Health: QOF prevalence,All ages,13092
Lancashire,Persons,Count,2022,Reoffending levels: percentage of offenders who reoffend,All ages,1786
Lancashire,Persons,Count,2022,Smoking: QOF prevalence,15+ yrs,167878
Lancashire,Persons,Count,2022,"Violent crime - sexual offences per 1,000 population",All ages,3393
Lancashire,Persons,Count,2022,"Violent crime - violence offences per 1,000 population",All ages,41518
Lancashire,Persons,Count,2022-2024,Violent crime - hospital admissions for violence (including sexual violence),All ages,1475
Lancashire,Persons,Count,2023,Mental Health: QOF prevalence,All ages,13985
Lancashire,Persons,Count,2023,Reoffending levels: percentage of offenders who reoffend,All ages,1823
Lancashire,Persons,Count,2023,Smoking: QOF prevalence,15+ yrs,162150
Lancashire,Persons,Count,2023,"Violent crime - sexual offences per 1,000 population",All ages,3154
Lancashire,Persons,Count,2023,"Violent crime - violence offences per 1,000 population",All ages,38777
Lancashire,Persons,Count,2023-2025,Violent crime - hospital admissions for violence (including sexual violence),All ages,1240
Lancashire,Persons,Count,2024,Mental Health: QOF prevalence,All ages,13544
Lancashire,Persons,Count,2024,Reoffending levels: percentage of offenders who reoffend,All ages,2162
Lancashire,Persons,Count,2024,Smoking: QOF prevalence,15+ yrs,157677
Lancashire,Persons,Count,2024,"Violent crime - sexual offences per 1,000 population",All ages,3226
Lancashire,Persons,Count,2024,"Violent crime - violence offences per 1,000 population",All ages,37629
Lancashire,Persons,Count,2025,Mental Health: QOF prevalence,All ages,14658
Lancashire,Persons,Count,2025,Smoking: QOF prevalence,15+ yrs,152099
Lancashire,Persons,Count,2025,"Violent crime - sexual offences per 1,000 population",All ages,3690
Lancashire,Persons,Count,2025,"Violent crime - violence offences per 1,000 population",All ages,37509
Lancashire,Persons,Denominator,2010-2012,Violent crime - hospital admissions for violence (including sexual violence),All ages,3503278
Lancashire,Persons,Denominator,2011-2013,Violent crime - hospital admissions for violence (including sexual violence),All ages,3513458
Lancashire,Persons,Denominator,2012-2014,Violent crime - hospital admissions for violence (including sexual violence),All ages,3524465
Lancashire,Persons,Denominator,2013,Mental Health: QOF prevalence,All ages,1178144
Lancashire,Persons,Denominator,2013-2015,Violent crime - hospital admissions for violence (including sexual violence),All ages,3536419
Lancashire,Persons,Denominator,2014,Mental Health: QOF prevalence,All ages,1178368
Lancashire,Persons,Denominator,2014,Smoking: QOF prevalence,15+ yrs,968496
Lancashire,Persons,Denominator,2014-2016,Violent crime - hospital admissions for violence (including sexual violence),All ages,3551251
Lancashire,Persons,Denominator,2015,Mental Health: QOF prevalence,All ages,1183020
Lancashire,Persons,Denominator,2015,Smoking: QOF prevalence,15+ yrs,976192
Lancashire,Persons,Denominator,2015-2017,Violent crime - hospital admissions for violence (including sexual violence),All ages,3567975
Lancashire,Persons,Denominator,2016,Mental Health: QOF prevalence,All ages,1189817
Lancashire,Persons,Denominator,2016,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,5242
Lancashire,Persons,Denominator,2016,Smoking: QOF prevalence,15+ yrs,989514
Lancashire,Persons,Denominator,2016,"Violent crime - sexual offences per 1,000 population",All ages,1183500
Lancashire,Persons,Denominator,2016,"Violent crime - violence offences per 1,000 population",All ages,1183500
Lancashire,Persons,Denominator,2016-2018,Violent crime - hospital admissions for violence (including sexual violence),All ages,3586883
Lancashire,Persons,Denominator,2017,Mental Health: QOF prevalence,All ages,1196396
Lancashire,Persons,Denominator,2017,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,5070
Lancashire,Persons,Denominator,2017,Reoffending levels: percentage of offenders who reoffend,All ages,8642
Lancashire,Persons,Denominator,2017,Smoking: QOF prevalence,15+ yrs,994021
Lancashire,Persons,Denominator,2017,"Violent crime - sexual offences per 1,000 population",All ages,1189200
Lancashire,Persons,Denominator,2017,"Violent crime - violence offences per 1,000 population",All ages,1189200
Lancashire,Persons,Denominator,2017-2019,Violent crime - hospital admissions for violence (including sexual violence),All ages,3606402
Lancashire,Persons,Denominator,2018,Mental Health: QOF prevalence,All ages,1216180
Lancashire,Persons,Denominator,2018,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,5180
Lancashire,Persons,Denominator,2018,Reoffending levels: percentage of offenders who reoffend,All ages,8372
Lancashire,Persons,Denominator,2018,Smoking: QOF prevalence,15+ yrs,1010712
Lancashire,Persons,Denominator,2018,"Violent crime - sexual offences per 1,000 population",All ages,1195300
Lancashire,Persons,Denominator,2018,"Violent crime - violence offences per 1,000 population",All ages,1195300
Lancashire,Persons,Denominator,2018-2020,Violent crime - hospital admissions for violence (including sexual violence),All ages,3628476
Lancashire,Persons,Denominator,2019,Mental Health: QOF prevalence,All ages,1262389
Lancashire,Persons,Denominator,2019,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,5082
Lancashire,Persons,Denominator,2019,Reoffending levels: percentage of offenders who reoffend,All ages,7903
Lancashire,Persons,Denominator,2019,Smoking: QOF prevalence,15+ yrs,1049507
Lancashire,Persons,Denominator,2019,"Violent crime - sexual offences per 1,000 population",All ages,1202400
Lancashire,Persons,Denominator,2019,"Violent crime - violence offences per 1,000 population",All ages,1202400
Lancashire,Persons,Denominator,2019-2021,Violent crime - hospital admissions for violence (including sexual violence),All ages,3650184
Lancashire,Persons,Denominator,2020,Mental Health: QOF prevalence,All ages,1229483
Lancashire,Persons,Denominator,2020,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,5096
Lancashire,Persons,Denominator,2020,Reoffending levels: percentage of offenders who reoffend,All ages,7183
Lancashire,Persons,Denominator,2020,Smoking: QOF prevalence,15+ yrs,1023545
Lancashire,Persons,Denominator,2020,"Violent crime - sexual offences per 1,000 population",All ages,1208700
Lancashire,Persons,Denominator,2020,"Violent crime - violence offences per 1,000 population",All ages,1208700
Lancashire,Persons,Denominator,2020-2022,Violent crime - hospital admissions for violence (including sexual violence),All ages,3677740
Lancashire,Persons,Denominator,2021,Mental Health: QOF prevalence,All ages,1248624
Lancashire,Persons,Denominator,2021,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,4992
Lancashire,Persons,Denominator,2021,Reoffending levels: percentage of offenders who reoffend,All ages,5811
Lancashire,Persons,Denominator,2021,Smoking: QOF prevalence,15+ yrs,1041409
Lancashire,Persons,Denominator,2021,"Violent crime - sexual offences per 1,000 population",All ages,1217400
Lancashire,Persons,Denominator,2021,"Violent crime - violence offences per 1,000 population",All ages,1217400
Lancashire,Persons,Denominator,2021-2023,Violent crime - hospital admissions for violence (including sexual violence),All ages,3716025
Lancashire,Persons,Denominator,2022,Mental Health: QOF prevalence,All ages,1263874
Lancashire,Persons,Denominator,2022,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,4975
Lancashire,Persons,Denominator,2022,Reoffending levels: percentage of offenders who reoffend,All ages,6828
Lancashire,Persons,Denominator,2022,Smoking: QOF prevalence,15+ yrs,1056071
Lancashire,Persons,Denominator,2022,"Violent crime - sexual offences per 1,000 population",All ages,1224100
Lancashire,Persons,Denominator,2022,"Violent crime - violence offences per 1,000 population",All ages,1224100
Lancashire,Persons,Denominator,2022-2024,Violent crime - hospital admissions for violence (including sexual violence),All ages,3767000
Lancashire,Persons,Denominator,2023,Mental Health: QOF prevalence,All ages,1278965
Lancashire,Persons,Denominator,2023,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,4975
Lancashire,Persons,Denominator,2023,Reoffending levels: percentage of offenders who reoffend,All ages,6713
Lancashire,Persons,Denominator,2023,Smoking: QOF prevalence,15+ yrs,1070711
Lancashire,Persons,Denominator,2023,"Violent crime - sexual offences per 1,000 population",All ages,1236200
Lancashire,Persons,Denominator,2023,"Violent crime - violence offences per 1,000 population",All ages,1236200
Lancashire,Persons,Denominator,2023-2025,Violent crime - hospital admissions for violence (including sexual violence),All ages,3825686
Lancashire,Persons,Denominator,2024,Mental Health: QOF prevalence,All ages,1292379
Lancashire,Persons,Denominator,2024,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,5826
Lancashire,Persons,Denominator,2024,Reoffending levels: percentage of offenders who reoffend,All ages,7289
Lancashire,Persons,Denominator,2024,Smoking: QOF prevalence,15+ yrs,1083831
Lancashire,Persons,Denominator,2024,"Violent crime - sexual offences per 1,000 population",All ages,1255700
Lancashire,Persons,Denominator,2024,"Violent crime - violence offences per 1,000 population",All ages,1255700
Lancashire,Persons,Denominator,2025,Mental Health: QOF prevalence,All ages,1306566
Lancashire,Persons,Denominator,2025,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,5115
Lancashire,Persons,Denominator,2025,Smoking: QOF prevalence,15+ yrs,1098286
Lancashire,Persons,Denominator,2025,"Violent crime - sexual offences per 1,000 population",All ages,1275100
Lancashire,Persons,Denominator,2025,"Violent crime - violence offences per 1,000 population",All ages,1275100
Lancashire,Persons,Lower CI 95.0 limit,2010-2012,Violent crime - hospital admissions for violence (including sexual violence),All ages,70.238
Lancashire,Persons,Lower CI 95.0 limit,2011-2013,Violent crime - hospital admissions for violence (including sexual violence),All ages,64.30434
Lancashire,Persons,Lower CI 95.0 limit,2012-2014,Violent crime - hospital admissions for violence (including sexual violence),All ages,59.8588
Lancashire,Persons,Lower CI 95.0 limit,2013,Mental Health: QOF prevalence,All ages,0.851633355927232
Lancashire,Persons,Lower CI 95.0 limit,2013-2015,Violent crime - hospital admissions for violence (including sexual violence),All ages,55.66005
Lancashire,Persons,Lower CI 95.0 limit,2014,Mental Health: QOF prevalence,All ages,0.871796120593145
Lancashire,Persons,Lower CI 95.0 limit,2014,Smoking: QOF prevalence,15+ yrs,20.2586016493672
Lancashire,Persons,Lower CI 95.0 limit,2014-2016,Violent crime - hospital admissions for violence (including sexual violence),All ages,52.18279
Lancashire,Persons,Lower CI 95.0 limit,2015,Mental Health: QOF prevalence,All ages,0.907124575508696
Lancashire,Persons,Lower CI 95.0 limit,2015,Smoking: QOF prevalence,15+ yrs,19.6375014390736
Lancashire,Persons,Lower CI 95.0 limit,2015-2017,Violent crime - hospital admissions for violence (including sexual violence),All ages,47.113
Lancashire,Persons,Lower CI 95.0 limit,2016,Mental Health: QOF prevalence,All ages,0.941024027304157
Lancashire,Persons,Lower CI 95.0 limit,2016,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,62.59061
Lancashire,Persons,Lower CI 95.0 limit,2016,Smoking: QOF prevalence,15+ yrs,19.0526194413404
Lancashire,Persons,Lower CI 95.0 limit,2016,"Violent crime - sexual offences per 1,000 population",All ages,1.3442
Lancashire,Persons,Lower CI 95.0 limit,2016,"Violent crime - violence offences per 1,000 population",All ages,14.89632
Lancashire,Persons,Lower CI 95.0 limit,2016-2018,Violent crime - hospital admissions for violence (including sexual violence),All ages,43.13678
Lancashire,Persons,Lower CI 95.0 limit,2017,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,234.5
Lancashire,Persons,Lower CI 95.0 limit,2017,Mental Health: QOF prevalence,All ages,0.977181674125322
Lancashire,Persons,Lower CI 95.0 limit,2017,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,63.03748
Lancashire,Persons,Lower CI 95.0 limit,2017,Smoking: QOF prevalence,15+ yrs,18.6382426339022
Lancashire,Persons,Lower CI 95.0 limit,2017,"Violent crime - sexual offences per 1,000 population",All ages,1.63522
Lancashire,Persons,Lower CI 95.0 limit,2017,"Violent crime - violence offences per 1,000 population",All ages,17.49773
Lancashire,Persons,Lower CI 95.0 limit,2017-2019,Violent crime - hospital admissions for violence (including sexual violence),All ages,42.1113
Lancashire,Persons,Lower CI 95.0 limit,2018,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,272.7
Lancashire,Persons,Lower CI 95.0 limit,2018,Mental Health: QOF prevalence,All ages,1.00169888669027
Lancashire,Persons,Lower CI 95.0 limit,2018,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,63.18533
Lancashire,Persons,Lower CI 95.0 limit,2018,Smoking: QOF prevalence,15+ yrs,17.9147360152777
Lancashire,Persons,Lower CI 95.0 limit,2018,"Violent crime - sexual offences per 1,000 population",All ages,2.19824
Lancashire,Persons,Lower CI 95.0 limit,2018,"Violent crime - violence offences per 1,000 population",All ages,23.45009
Lancashire,Persons,Lower CI 95.0 limit,2018-2020,Violent crime - hospital admissions for violence (including sexual violence),All ages,44.95741
Lancashire,Persons,Lower CI 95.0 limit,2019,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,276.7
Lancashire,Persons,Lower CI 95.0 limit,2019,Mental Health: QOF prevalence,All ages,1.00139192688953
Lancashire,Persons,Lower CI 95.0 limit,2019,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,62.82959
Lancashire,Persons,Lower CI 95.0 limit,2019,Smoking: QOF prevalence,15+ yrs,16.9808402743669
Lancashire,Persons,Lower CI 95.0 limit,2019,"Violent crime - sexual offences per 1,000 population",All ages,2.81847
Lancashire,Persons,Lower CI 95.0 limit,2019,"Violent crime - violence offences per 1,000 population",All ages,36.68777
Lancashire,Persons,Lower CI 95.0 limit,2019-2021,Violent crime - hospital admissions for violence (including sexual violence),All ages,43.58424
Lancashire,Persons,Lower CI 95.0 limit,2020,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,276.5
Lancashire,Persons,Lower CI 95.0 limit,2020,Mental Health: QOF prevalence,All ages,0.991511221505683
Lancashire,Persons,Lower CI 95.0 limit,2020,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,65.95369
Lancashire,Persons,Lower CI 95.0 limit,2020,Smoking: QOF prevalence,15+ yrs,17.191509643981
Lancashire,Persons,Lower CI 95.0 limit,2020,"Violent crime - sexual offences per 1,000 population",All ages,2.32898
Lancashire,Persons,Lower CI 95.0 limit,2020,"Violent crime - violence offences per 1,000 population",All ages,31.78116
Lancashire,Persons,Lower CI 95.0 limit,2020-2022,Violent crime - hospital admissions for violence (including sexual violence),All ages,45.31948
Lancashire,Persons,Lower CI 95.0 limit,2021,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,276
Lancashire,Persons,Lower CI 95.0 limit,2021,Mental Health: QOF prevalence,All ages,1.01671607651868
Lancashire,Persons,Lower CI 95.0 limit,2021,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,65.0641
Lancashire,Persons,Lower CI 95.0 limit,2021,Smoking: QOF prevalence,15+ yrs,16.4845769788728
Lancashire,Persons,Lower CI 95.0 limit,2021,"Violent crime - sexual offences per 1,000 population",All ages,2.03666
Lancashire,Persons,Lower CI 95.0 limit,2021,"Violent crime - violence offences per 1,000 population",All ages,29.53538
Lancashire,Persons,Lower CI 95.0 limit,2021-2023,Violent crime - hospital admissions for violence (including sexual violence),All ages,40.67221
Lancashire,Persons,Lower CI 95.0 limit,2022,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,288.2
Lancashire,Persons,Lower CI 95.0 limit,2022,Mental Health: QOF prevalence,All ages,1.01833417580486
Lancashire,Persons,Lower CI 95.0 limit,2022,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,64.44221
Lancashire,Persons,Lower CI 95.0 limit,2022,Smoking: QOF prevalence,15+ yrs,15.8268568367975
Lancashire,Persons,Lower CI 95.0 limit,2022,"Violent crime - sexual offences per 1,000 population",All ages,2.67934
Lancashire,Persons,Lower CI 95.0 limit,2022,"Violent crime - violence offences per 1,000 population",All ages,33.59169
Lancashire,Persons,Lower CI 95.0 limit,2022-2024,Violent crime - hospital admissions for violence (including sexual violence),All ages,38.54302
Lancashire,Persons,Lower CI 95.0 limit,2023,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,326
Lancashire,Persons,Lower CI 95.0 limit,2023,Mental Health: QOF prevalence,All ages,1.0755539583208
Lancashire,Persons,Lower CI 95.0 limit,2023,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,64.42161
Lancashire,Persons,Lower CI 95.0 limit,2023,Smoking: QOF prevalence,15+ yrs,15.0763667470338
Lancashire,Persons,Lower CI 95.0 limit,2023,"Violent crime - sexual offences per 1,000 population",All ages,2.46309
Lancashire,Persons,Lower CI 95.0 limit,2023,"Violent crime - violence offences per 1,000 population",All ages,31.05646
Lancashire,Persons,Lower CI 95.0 limit,2023-2025,Violent crime - hospital admissions for violence (including sexual violence),All ages,31.79654
Lancashire,Persons,Lower CI 95.0 limit,2024,Mental Health: QOF prevalence,All ages,1.03057697554741
Lancashire,Persons,Lower CI 95.0 limit,2024,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,64.98412
Lancashire,Persons,Lower CI 95.0 limit,2024,Smoking: QOF prevalence,15+ yrs,14.481863346696
Lancashire,Persons,Lower CI 95.0 limit,2024,"Violent crime - sexual offences per 1,000 population",All ages,2.48119
Lancashire,Persons,Lower CI 95.0 limit,2024,"Violent crime - violence offences per 1,000 population",All ages,29.66453
Lancashire,Persons,Lower CI 95.0 limit,2025,Mental Health: QOF prevalence,All ages,1.103959355
Lancashire,Persons,Lower CI 95.0 limit,2025,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,67.33138
Lancashire,Persons,Lower CI 95.0 limit,2025,Smoking: QOF prevalence,15+ yrs,13.7842880219152
Lancashire,Persons,Lower CI 95.0 limit,2025,"Violent crime - sexual offences per 1,000 population",All ages,2.80126
Lancashire,Persons,Lower CI 95.0 limit,2025,"Violent crime - violence offences per 1,000 population",All ages,29.11956
Lancashire,Persons,Lower CI 99.8 limit,2011-2013,Violent crime - hospital admissions for violence (including sexual violence),All ages,62.80131
Lancashire,Persons,Lower CI 99.8 limit,2012-2014,Violent crime - hospital admissions for violence (including sexual violence),All ages,58.40875
Lancashire,Persons,Lower CI 99.8 limit,2013,Mental Health: QOF prevalence,All ages,0.842207707468209
Lancashire,Persons,Lower CI 99.8 limit,2013-2015,Violent crime - hospital admissions for violence (including sexual violence),All ages,54.25778
Lancashire,Persons,Lower CI 99.8 limit,2014,Mental Health: QOF prevalence,All ages,0.86228730375961
Lancashire,Persons,Lower CI 99.8 limit,2014,Smoking: QOF prevalence,15+ yrs,20.2125473539025
Lancashire,Persons,Lower CI 99.8 limit,2014-2016,Violent crime - hospital admissions for violence (including sexual violence),All ages,50.8227
Lancashire,Persons,Lower CI 99.8 limit,2015,Mental Health: QOF prevalence,All ages,0.897441657663307
Lancashire,Persons,Lower CI 99.8 limit,2015,Smoking: QOF prevalence,15+ yrs,19.592165189531
Lancashire,Persons,Lower CI 99.8 limit,2015-2017,Violent crime - hospital admissions for violence (including sexual violence),All ages,45.82062
Lancashire,Persons,Lower CI 99.8 limit,2016,Mental Health: QOF prevalence,All ages,0.931186146781095
Lancashire,Persons,Lower CI 99.8 limit,2016,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,61.90382
Lancashire,Persons,Lower CI 99.8 limit,2016,Smoking: QOF prevalence,15+ yrs,19.0081065089646
Lancashire,Persons,Lower CI 99.8 limit,2016,"Violent crime - sexual offences per 1,000 population",All ages,1.30676
Lancashire,Persons,Lower CI 99.8 limit,2016,"Violent crime - violence offences per 1,000 population",All ages,14.77018
Lancashire,Persons,Lower CI 99.8 limit,2016-2018,Violent crime - hospital admissions for violence (including sexual violence),All ages,41.90519
Lancashire,Persons,Lower CI 99.8 limit,2017,Mental Health: QOF prevalence,All ages,0.967188760073087
Lancashire,Persons,Lower CI 99.8 limit,2017,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,62.13018
Lancashire,Persons,Lower CI 99.8 limit,2017,Smoking: QOF prevalence,15+ yrs,18.5942061713773
Lancashire,Persons,Lower CI 99.8 limit,2017,"Violent crime - sexual offences per 1,000 population",All ages,1.59396
Lancashire,Persons,Lower CI 99.8 limit,2017,"Violent crime - violence offences per 1,000 population",All ages,17.36129
Lancashire,Persons,Lower CI 99.8 limit,2017-2019,Violent crime - hospital admissions for violence (including sexual violence),All ages,40.896
Lancashire,Persons,Lower CI 99.8 limit,2018,Mental Health: QOF prevalence,All ages,0.991662854248684
Lancashire,Persons,Lower CI 99.8 limit,2018,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,62.5289
Lancashire,Persons,Lower CI 99.8 limit,2018,Smoking: QOF prevalence,15+ yrs,17.8717339934835
Lancashire,Persons,Lower CI 99.8 limit,2018,"Violent crime - sexual offences per 1,000 population",All ages,2.15043
Lancashire,Persons,Lower CI 99.8 limit,2018,"Violent crime - violence offences per 1,000 population",All ages,23.29244
Lancashire,Persons,Lower CI 99.8 limit,2018-2020,Violent crime - hospital admissions for violence (including sexual violence),All ages,43.69949
Lancashire,Persons,Lower CI 99.8 limit,2019,Mental Health: QOF prevalence,All ages,0.991525220351654
