Local Authority,Statistics,Sex,Pay Type,Attribute,Sum of Value
Preston,75 percentile,Part Time Workers,Weekly pay - gross,Confidence,223
Preston,75 percentile,Part Time Workers,Weekly pay - gross,Value,3375.1
South Ribble,75 percentile,Part Time Workers,Weekly pay - gross,Confidence,40
South Ribble,75 percentile,Part Time Workers,Weekly pay - gross,Value,652.7
West Lancashire,75 percentile,Part Time Workers,Weekly pay - gross,Confidence,20
West Lancashire,75 percentile,Part Time Workers,Weekly pay - gross,Value,273.2
Wyre,75 percentile,Part Time Workers,Weekly pay - gross,Confidence,20
Wyre,75 percentile,Part Time Workers,Weekly pay - gross,Value,247.8
Blackburn with Darwen,75 percentile,Total,Annual pay - gross,Confidence,225.3
Blackburn with Darwen,75 percentile,Total,Annual pay - gross,Value,503599
Blackpool,75 percentile,Total,Annual pay - gross,Confidence,137.5
Blackpool,75 percentile,Total,Annual pay - gross,Value,331129
Burnley,75 percentile,Total,Annual pay - gross,Confidence,228
Burnley,75 percentile,Total,Annual pay - gross,Value,440330
Chorley,75 percentile,Total,Annual pay - gross,Confidence,197
Chorley,75 percentile,Total,Annual pay - gross,Value,504310
Fylde,75 percentile,Total,Annual pay - gross,Confidence,179
Fylde,75 percentile,Total,Annual pay - gross,Value,413078
Great Britain,75 percentile,Total,Annual pay - gross,Confidence,5.5
Great Britain,75 percentile,Total,Annual pay - gross,Value,669624
Hyndburn,75 percentile,Total,Annual pay - gross,Confidence,195
Hyndburn,75 percentile,Total,Annual pay - gross,Value,398483
Lancaster,75 percentile,Total,Annual pay - gross,Confidence,170.8
Lancaster,75 percentile,Total,Annual pay - gross,Value,426699
North West,75 percentile,Total,Annual pay - gross,Confidence,32.7
North West,75 percentile,Total,Annual pay - gross,Value,626639
Pendle,75 percentile,Total,Annual pay - gross,Confidence,166
Pendle,75 percentile,Total,Annual pay - gross,Value,332600
Preston,75 percentile,Total,Annual pay - gross,Confidence,203.5
Preston,75 percentile,Total,Annual pay - gross,Value,516920
Ribble Valley,75 percentile,Total,Annual pay - gross,Confidence,128
Ribble Valley,75 percentile,Total,Annual pay - gross,Value,269509
Rossendale,75 percentile,Total,Annual pay - gross,Confidence,125
Rossendale,75 percentile,Total,Annual pay - gross,Value,259919
South Ribble,75 percentile,Total,Annual pay - gross,Confidence,221
South Ribble,75 percentile,Total,Annual pay - gross,Value,595528
West Lancashire,75 percentile,Total,Annual pay - gross,Confidence,206
West Lancashire,75 percentile,Total,Annual pay - gross,Value,509979
Wyre,75 percentile,Total,Annual pay - gross,Confidence,226
Wyre,75 percentile,Total,Annual pay - gross,Value,490747
Blackburn with Darwen,75 percentile,Total,Hourly pay - gross,Confidence,184.8
Blackburn with Darwen,75 percentile,Total,Hourly pay - gross,Value,281.88
Blackpool,75 percentile,Total,Hourly pay - gross,Confidence,146.6
Blackpool,75 percentile,Total,Hourly pay - gross,Value,251.48
Burnley,75 percentile,Total,Hourly pay - gross,Confidence,236
Burnley,75 percentile,Total,Hourly pay - gross,Value,296.81
Chorley,75 percentile,Total,Hourly pay - gross,Confidence,171.2
Chorley,75 percentile,Total,Hourly pay - gross,Value,350.99
Fylde,75 percentile,Total,Hourly pay - gross,Confidence,242
Fylde,75 percentile,Total,Hourly pay - gross,Value,373.25
Great Britain,75 percentile,Total,Hourly pay - gross,Confidence,3.8
Great Britain,75 percentile,Total,Hourly pay - gross,Value,353.89
Hyndburn,75 percentile,Total,Hourly pay - gross,Confidence,247.8
Hyndburn,75 percentile,Total,Hourly pay - gross,Value,291.66
Lancaster,75 percentile,Total,Hourly pay - gross,Confidence,173.3
Lancaster,75 percentile,Total,Hourly pay - gross,Value,328.58
North West,75 percentile,Total,Hourly pay - gross,Confidence,21.4
North West,75 percentile,Total,Hourly pay - gross,Value,330.19
Pendle,75 percentile,Total,Hourly pay - gross,Confidence,237
Pendle,75 percentile,Total,Hourly pay - gross,Value,290.38
Preston,75 percentile,Total,Hourly pay - gross,Confidence,147
Preston,75 percentile,Total,Hourly pay - gross,Value,302.83
Ribble Valley,75 percentile,Total,Hourly pay - gross,Confidence,254
Ribble Valley,75 percentile,Total,Hourly pay - gross,Value,362.66
Rossendale,75 percentile,Total,Hourly pay - gross,Confidence,297
Rossendale,75 percentile,Total,Hourly pay - gross,Value,323.14
South Ribble,75 percentile,Total,Hourly pay - gross,Confidence,168.5
South Ribble,75 percentile,Total,Hourly pay - gross,Value,328.36
West Lancashire,75 percentile,Total,Hourly pay - gross,Confidence,212
West Lancashire,75 percentile,Total,Hourly pay - gross,Value,348.33
Wyre,75 percentile,Total,Hourly pay - gross,Confidence,204.4
Wyre,75 percentile,Total,Hourly pay - gross,Value,326.19
Blackburn with Darwen,75 percentile,Total,Weekly pay - gross,Confidence,169.1
Blackburn with Darwen,75 percentile,Total,Weekly pay - gross,Value,10348.5
Blackpool,75 percentile,Total,Weekly pay - gross,Confidence,157.6
Blackpool,75 percentile,Total,Weekly pay - gross,Value,9270.1
Burnley,75 percentile,Total,Weekly pay - gross,Confidence,216
Burnley,75 percentile,Total,Weekly pay - gross,Value,11118
Chorley,75 percentile,Total,Weekly pay - gross,Confidence,181
Chorley,75 percentile,Total,Weekly pay - gross,Value,12582.2
Fylde,75 percentile,Total,Weekly pay - gross,Confidence,250
Fylde,75 percentile,Total,Weekly pay - gross,Value,13578.7
Great Britain,75 percentile,Total,Weekly pay - gross,Confidence,3.8
Great Britain,75 percentile,Total,Weekly pay - gross,Value,12799
Hyndburn,75 percentile,Total,Weekly pay - gross,Confidence,236.1
Hyndburn,75 percentile,Total,Weekly pay - gross,Value,10835.5
Lancaster,75 percentile,Total,Weekly pay - gross,Confidence,173.3
Lancaster,75 percentile,Total,Weekly pay - gross,Value,11800.6
North West,75 percentile,Total,Weekly pay - gross,Confidence,20.8
North West,75 percentile,Total,Weekly pay - gross,Value,12022.6
Pendle,75 percentile,Total,Weekly pay - gross,Confidence,222
Pendle,75 percentile,Total,Weekly pay - gross,Value,10585.2
Preston,75 percentile,Total,Weekly pay - gross,Confidence,165.9
Preston,75 percentile,Total,Weekly pay - gross,Value,11146.4
Ribble Valley,75 percentile,Total,Weekly pay - gross,Confidence,282
Ribble Valley,75 percentile,Total,Weekly pay - gross,Value,13951.4
Rossendale,75 percentile,Total,Weekly pay - gross,Confidence,265
Rossendale,75 percentile,Total,Weekly pay - gross,Value,12270.7
South Ribble,75 percentile,Total,Weekly pay - gross,Confidence,171.2
South Ribble,75 percentile,Total,Weekly pay - gross,Value,12068.8
West Lancashire,75 percentile,Total,Weekly pay - gross,Confidence,207.7
West Lancashire,75 percentile,Total,Weekly pay - gross,Value,12317.4
Wyre,75 percentile,Total,Weekly pay - gross,Confidence,219.8
Wyre,75 percentile,Total,Weekly pay - gross,Value,11618.3
Great Britain,90 percentile,Female,Annual pay - gross,Confidence,10.7
Great Britain,90 percentile,Female,Annual pay - gross,Value,772793
North West,90 percentile,Female,Annual pay - gross,Confidence,78.2
North West,90 percentile,Female,Annual pay - gross,Value,726870
Great Britain,90 percentile,Female,Hourly pay - gross,Confidence,7.4
Great Britain,90 percentile,Female,Hourly pay - gross,Value,446.25
North West,90 percentile,Female,Hourly pay - gross,Confidence,53.4
North West,90 percentile,Female,Hourly pay - gross,Value,421.38
Great Britain,90 percentile,Female,Weekly pay - gross,Confidence,7.5
Great Britain,90 percentile,Female,Weekly pay - gross,Value,14987
North West,90 percentile,Female,Weekly pay - gross,Confidence,50.5
North West,90 percentile,Female,Weekly pay - gross,Value,14107.7
Great Britain,90 percentile,Full Time Workers,Annual pay - gross,Confidence,18.4
Great Britain,90 percentile,Full Time Workers,Annual pay - gross,Value,1064515
North West,90 percentile,Full Time Workers,Annual pay - gross,Confidence,75.7
North West,90 percentile,Full Time Workers,Annual pay - gross,Value,949668
Great Britain,90 percentile,Full Time Workers,Hourly pay - gross,Confidence,11.5
Great Britain,90 percentile,Full Time Workers,Hourly pay - gross,Value,538.44
North West,90 percentile,Full Time Workers,Hourly pay - gross,Confidence,49.2
North West,90 percentile,Full Time Workers,Hourly pay - gross,Value,486.03
Great Britain,90 percentile,Full Time Workers,Weekly pay - gross,Confidence,11.4
Great Britain,90 percentile,Full Time Workers,Weekly pay - gross,Value,20225.7
North West,90 percentile,Full Time Workers,Weekly pay - gross,Confidence,48.8
North West,90 percentile,Full Time Workers,Weekly pay - gross,Value,18277.3
Great Britain,90 percentile,Male,Annual pay - gross,Confidence,15.5
Great Britain,90 percentile,Male,Annual pay - gross,Value,1123465
North West,90 percentile,Male,Annual pay - gross,Confidence,100.4
North West,90 percentile,Male,Annual pay - gross,Value,1001461
Great Britain,90 percentile,Male,Hourly pay - gross,Confidence,9.6
Great Britain,90 percentile,Male,Hourly pay - gross,Value,568.56
North West,90 percentile,Male,Hourly pay - gross,Confidence,67.5
North West,90 percentile,Male,Hourly pay - gross,Value,509.34
Great Britain,90 percentile,Male,Weekly pay - gross,Confidence,9.1
Great Britain,90 percentile,Male,Weekly pay - gross,Value,21075.8
North West,90 percentile,Male,Weekly pay - gross,Confidence,62.6
North West,90 percentile,Male,Weekly pay - gross,Value,19018.2
Great Britain,90 percentile,Part Time Workers,Annual pay - gross,Confidence,44
Great Britain,90 percentile,Part Time Workers,Annual pay - gross,Value,436194
North West,90 percentile,Part Time Workers,Annual pay - gross,Confidence,180.4
North West,90 percentile,Part Time Workers,Annual pay - gross,Value,420538
Great Britain,90 percentile,Part Time Workers,Hourly pay - gross,Confidence,25.3
Great Britain,90 percentile,Part Time Workers,Hourly pay - gross,Value,400.92
North West,90 percentile,Part Time Workers,Hourly pay - gross,Confidence,106.4
North West,90 percentile,Part Time Workers,Hourly pay - gross,Value,377.11
Great Britain,90 percentile,Part Time Workers,Weekly pay - gross,Confidence,27
Great Britain,90 percentile,Part Time Workers,Weekly pay - gross,Value,7931.6
North West,90 percentile,Part Time Workers,Weekly pay - gross,Confidence,108.5
North West,90 percentile,Part Time Workers,Weekly pay - gross,Value,7615.4
Great Britain,90 percentile,Total,Annual pay - gross,Confidence,9.6
Great Britain,90 percentile,Total,Annual pay - gross,Value,953917
North West,90 percentile,Total,Annual pay - gross,Confidence,63.3
North West,90 percentile,Total,Annual pay - gross,Value,870734
Great Britain,90 percentile,Total,Hourly pay - gross,Confidence,6
Great Britain,90 percentile,Total,Hourly pay - gross,Value,507.6
North West,90 percentile,Total,Hourly pay - gross,Confidence,41.9
North West,90 percentile,Total,Hourly pay - gross,Value,464.4
Great Britain,90 percentile,Total,Weekly pay - gross,Confidence,6
Great Britain,90 percentile,Total,Weekly pay - gross,Value,18181.1
North West,90 percentile,Total,Weekly pay - gross,Confidence,40.1
North West,90 percentile,Total,Weekly pay - gross,Value,16734.4
Blackburn with Darwen,Mean,Female,Annual pay - gross,Confidence,156.9
Blackburn with Darwen,Mean,Female,Annual pay - gross,Value,348629
Blackpool,Mean,Female,Annual pay - gross,Confidence,112
Blackpool,Mean,Female,Annual pay - gross,Value,319538
Burnley,Mean,Female,Annual pay - gross,Confidence,160
Burnley,Mean,Female,Annual pay - gross,Value,349206
Chorley,Mean,Female,Annual pay - gross,Confidence,151.6
Chorley,Mean,Female,Annual pay - gross,Value,415747
Fylde,Mean,Female,Annual pay - gross,Confidence,183.1
Fylde,Mean,Female,Annual pay - gross,Value,386853
Great Britain,Mean,Female,Annual pay - gross,Confidence,8.4
Great Britain,Mean,Female,Annual pay - gross,Value,421266
Hyndburn,Mean,Female,Annual pay - gross,Confidence,176.1
Hyndburn,Mean,Female,Annual pay - gross,Value,362472
Lancaster,Mean,Female,Annual pay - gross,Confidence,176.7
Lancaster,Mean,Female,Annual pay - gross,Value,372745
North West,Mean,Female,Annual pay - gross,Confidence,21.9
North West,Mean,Female,Annual pay - gross,Value,393434
Pendle,Mean,Female,Annual pay - gross,Confidence,201.6
Pendle,Mean,Female,Annual pay - gross,Value,365616
Preston,Mean,Female,Annual pay - gross,Confidence,157.3
Preston,Mean,Female,Annual pay - gross,Value,334305
Ribble Valley,Mean,Female,Annual pay - gross,Confidence,195.7
Ribble Valley,Mean,Female,Annual pay - gross,Value,438377
Rossendale,Mean,Female,Annual pay - gross,Confidence,208.2
Rossendale,Mean,Female,Annual pay - gross,Value,420667
South Ribble,Mean,Female,Annual pay - gross,Confidence,140.8
South Ribble,Mean,Female,Annual pay - gross,Value,393865
West Lancashire,Mean,Female,Annual pay - gross,Confidence,145.6
West Lancashire,Mean,Female,Annual pay - gross,Value,402698
Wyre,Mean,Female,Annual pay - gross,Confidence,151.6
Wyre,Mean,Female,Annual pay - gross,Value,387977
Blackburn with Darwen,Mean,Female,Hourly pay - gross,Confidence,92.6
Blackburn with Darwen,Mean,Female,Hourly pay - gross,Value,231.14
Blackpool,Mean,Female,Hourly pay - gross,Confidence,71.8
Blackpool,Mean,Female,Hourly pay - gross,Value,214.41
Burnley,Mean,Female,Hourly pay - gross,Confidence,103.6
Burnley,Mean,Female,Hourly pay - gross,Value,238.64
Chorley,Mean,Female,Hourly pay - gross,Confidence,89.5
Chorley,Mean,Female,Hourly pay - gross,Value,275.92
Fylde,Mean,Female,Hourly pay - gross,Confidence,112.7
Fylde,Mean,Female,Hourly pay - gross,Value,263.7
Great Britain,Mean,Female,Hourly pay - gross,Confidence,4.4
Great Britain,Mean,Female,Hourly pay - gross,Value,273.85
Hyndburn,Mean,Female,Hourly pay - gross,Confidence,101.4
Hyndburn,Mean,Female,Hourly pay - gross,Value,231.11
Lancaster,Mean,Female,Hourly pay - gross,Confidence,97.2
Lancaster,Mean,Female,Hourly pay - gross,Value,251.35
North West,Mean,Female,Hourly pay - gross,Confidence,12.2
North West,Mean,Female,Hourly pay - gross,Value,256.89
Pendle,Mean,Female,Hourly pay - gross,Confidence,128.5
Pendle,Mean,Female,Hourly pay - gross,Value,242.31
Preston,Mean,Female,Hourly pay - gross,Confidence,98.8
Preston,Mean,Female,Hourly pay - gross,Value,239.4
Ribble Valley,Mean,Female,Hourly pay - gross,Confidence,122.7
Ribble Valley,Mean,Female,Hourly pay - gross,Value,283.47
Rossendale,Mean,Female,Hourly pay - gross,Confidence,150.2
Rossendale,Mean,Female,Hourly pay - gross,Value,267.2
South Ribble,Mean,Female,Hourly pay - gross,Confidence,85.6
South Ribble,Mean,Female,Hourly pay - gross,Value,252.21
West Lancashire,Mean,Female,Hourly pay - gross,Confidence,94.6
West Lancashire,Mean,Female,Hourly pay - gross,Value,270.84
Wyre,Mean,Female,Hourly pay - gross,Confidence,94.6
Wyre,Mean,Female,Hourly pay - gross,Value,253.92
Blackburn with Darwen,Mean,Female,Weekly pay - gross,Confidence,115.9
Blackburn with Darwen,Mean,Female,Weekly pay - gross,Value,6781
Blackpool,Mean,Female,Weekly pay - gross,Confidence,92.1
Blackpool,Mean,Female,Weekly pay - gross,Value,6489.6
Burnley,Mean,Female,Weekly pay - gross,Confidence,130.9
Burnley,Mean,Female,Weekly pay - gross,Value,7180.9
Chorley,Mean,Female,Weekly pay - gross,Confidence,109
Chorley,Mean,Female,Weekly pay - gross,Value,8116
Fylde,Mean,Female,Weekly pay - gross,Confidence,138.5
Fylde,Mean,Female,Weekly pay - gross,Value,7695.6
Great Britain,Mean,Female,Weekly pay - gross,Confidence,4.6
Great Britain,Mean,Female,Weekly pay - gross,Value,8094.4
Hyndburn,Mean,Female,Weekly pay - gross,Confidence,127.1
Hyndburn,Mean,Female,Weekly pay - gross,Value,7018.3
Lancaster,Mean,Female,Weekly pay - gross,Confidence,120
Lancaster,Mean,Female,Weekly pay - gross,Value,7143
North West,Mean,Female,Weekly pay - gross,Confidence,14.5
North West,Mean,Female,Weekly pay - gross,Value,7629.5
Pendle,Mean,Female,Weekly pay - gross,Confidence,155.8
Pendle,Mean,Female,Weekly pay - gross,Value,7119
Preston,Mean,Female,Weekly pay - gross,Confidence,120.6
Preston,Mean,Female,Weekly pay - gross,Value,6894.2
Ribble Valley,Mean,Female,Weekly pay - gross,Confidence,146.8
Ribble Valley,Mean,Female,Weekly pay - gross,Value,8399.8
Rossendale,Mean,Female,Weekly pay - gross,Confidence,170
Rossendale,Mean,Female,Weekly pay - gross,Value,8180.6
South Ribble,Mean,Female,Weekly pay - gross,Confidence,105.7
South Ribble,Mean,Female,Weekly pay - gross,Value,7646.4
West Lancashire,Mean,Female,Weekly pay - gross,Confidence,116.4
West Lancashire,Mean,Female,Weekly pay - gross,Value,8058.9
Wyre,Mean,Female,Weekly pay - gross,Confidence,118
Wyre,Mean,Female,Weekly pay - gross,Value,7463.6
Blackburn with Darwen,Mean,Full Time Workers,Annual pay - gross,Confidence,91.2
Blackburn with Darwen,Mean,Full Time Workers,Annual pay - gross,Value,499736
Blackpool,Mean,Full Time Workers,Annual pay - gross,Confidence,104.4
Blackpool,Mean,Full Time Workers,Annual pay - gross,Value,461897
Burnley,Mean,Full Time Workers,Annual pay - gross,Confidence,124.9
Burnley,Mean,Full Time Workers,Annual pay - gross,Value,520132
Chorley,Mean,Full Time Workers,Annual pay - gross,Confidence,115.8
Chorley,Mean,Full Time Workers,Annual pay - gross,Value,600359
Fylde,Mean,Full Time Workers,Annual pay - gross,Confidence,145.4
Fylde,Mean,Full Time Workers,Annual pay - gross,Value,675886
Great Britain,Mean,Full Time Workers,Annual pay - gross,Confidence,10
Great Britain,Mean,Full Time Workers,Annual pay - gross,Value,662007
Hyndburn,Mean,Full Time Workers,Annual pay - gross,Confidence,136.6
Hyndburn,Mean,Full Time Workers,Annual pay - gross,Value,516160
Lancaster,Mean,Full Time Workers,Annual pay - gross,Confidence,112.6
Lancaster,Mean,Full Time Workers,Annual pay - gross,Value,599075
North West,Mean,Full Time Workers,Annual pay - gross,Confidence,18.1
North West,Mean,Full Time Workers,Annual pay - gross,Value,591310
Pendle,Mean,Full Time Workers,Annual pay - gross,Confidence,142
Pendle,Mean,Full Time Workers,Annual pay - gross,Value,542228
Preston,Mean,Full Time Workers,Annual pay - gross,Confidence,122.6
Preston,Mean,Full Time Workers,Annual pay - gross,Value,561525
Ribble Valley,Mean,Full Time Workers,Annual pay - gross,Confidence,178.9
Ribble Valley,Mean,Full Time Workers,Annual pay - gross,Value,676378
Rossendale,Mean,Full Time Workers,Annual pay - gross,Confidence,137.6
Rossendale,Mean,Full Time Workers,Annual pay - gross,Value,563202
South Ribble,Mean,Full Time Workers,Annual pay - gross,Confidence,136
South Ribble,Mean,Full Time Workers,Annual pay - gross,Value,601830
West Lancashire,Mean,Full Time Workers,Annual pay - gross,Confidence,133.9
West Lancashire,Mean,Full Time Workers,Annual pay - gross,Value,617468
Wyre,Mean,Full Time Workers,Annual pay - gross,Confidence,124.5
Wyre,Mean,Full Time Workers,Annual pay - gross,Value,570330
Blackburn with Darwen,Mean,Full Time Workers,Hourly pay - gross,Confidence,66.9
Blackburn with Darwen,Mean,Full Time Workers,Hourly pay - gross,Value,252.25
Blackpool,Mean,Full Time Workers,Hourly pay - gross,Confidence,68.1
Blackpool,Mean,Full Time Workers,Hourly pay - gross,Value,230.86
Burnley,Mean,Full Time Workers,Hourly pay - gross,Confidence,82.9
Burnley,Mean,Full Time Workers,Hourly pay - gross,Value,260.84
Chorley,Mean,Full Time Workers,Hourly pay - gross,Confidence,72.2
Chorley,Mean,Full Time Workers,Hourly pay - gross,Value,305.95
Fylde,Mean,Full Time Workers,Hourly pay - gross,Confidence,102.9
Fylde,Mean,Full Time Workers,Hourly pay - gross,Value,329.08
Great Britain,Mean,Full Time Workers,Hourly pay - gross,Confidence,4.3
Great Britain,Mean,Full Time Workers,Hourly pay - gross,Value,318
Hyndburn,Mean,Full Time Workers,Hourly pay - gross,Confidence,95
Hyndburn,Mean,Full Time Workers,Hourly pay - gross,Value,260.94
Lancaster,Mean,Full Time Workers,Hourly pay - gross,Confidence,77.2
Lancaster,Mean,Full Time Workers,Hourly pay - gross,Value,289.79
North West,Mean,Full Time Workers,Hourly pay - gross,Confidence,11.7
North West,Mean,Full Time Workers,Hourly pay - gross,Value,292.42
Pendle,Mean,Full Time Workers,Hourly pay - gross,Confidence,102.2
Pendle,Mean,Full Time Workers,Hourly pay - gross,Value,267.23
Preston,Mean,Full Time Workers,Hourly pay - gross,Confidence,84.3
Preston,Mean,Full Time Workers,Hourly pay - gross,Value,273.28
Ribble Valley,Mean,Full Time Workers,Hourly pay - gross,Confidence,115.2
Ribble Valley,Mean,Full Time Workers,Hourly pay - gross,Value,331.29
Rossendale,Mean,Full Time Workers,Hourly pay - gross,Confidence,108.8
Rossendale,Mean,Full Time Workers,Hourly pay - gross,Value,279.57
South Ribble,Mean,Full Time Workers,Hourly pay - gross,Confidence,94.4
South Ribble,Mean,Full Time Workers,Hourly pay - gross,Value,293.05
West Lancashire,Mean,Full Time Workers,Hourly pay - gross,Confidence,82.2
West Lancashire,Mean,Full Time Workers,Hourly pay - gross,Value,299.43
Wyre,Mean,Full Time Workers,Hourly pay - gross,Confidence,90.4
Wyre,Mean,Full Time Workers,Hourly pay - gross,Value,286.24
Blackburn with Darwen,Mean,Full Time Workers,Weekly pay - gross,Confidence,66.9
Blackburn with Darwen,Mean,Full Time Workers,Weekly pay - gross,Value,9844
Blackpool,Mean,Full Time Workers,Weekly pay - gross,Confidence,68.2
Blackpool,Mean,Full Time Workers,Weekly pay - gross,Value,9062
Burnley,Mean,Full Time Workers,Weekly pay - gross,Confidence,81.2
Burnley,Mean,Full Time Workers,Weekly pay - gross,Value,10193.2
Chorley,Mean,Full Time Workers,Weekly pay - gross,Confidence,70.6
Chorley,Mean,Full Time Workers,Weekly pay - gross,Value,11751.7
Fylde,Mean,Full Time Workers,Weekly pay - gross,Confidence,103.2
Fylde,Mean,Full Time Workers,Weekly pay - gross,Value,12727.1
Great Britain,Mean,Full Time Workers,Weekly pay - gross,Confidence,4.3
Great Britain,Mean,Full Time Workers,Weekly pay - gross,Value,12384.9
Hyndburn,Mean,Full Time Workers,Weekly pay - gross,Confidence,93.4
Hyndburn,Mean,Full Time Workers,Weekly pay - gross,Value,10147.4
Lancaster,Mean,Full Time Workers,Weekly pay - gross,Confidence,76.4
Lancaster,Mean,Full Time Workers,Weekly pay - gross,Value,11367.6
North West,Mean,Full Time Workers,Weekly pay - gross,Confidence,11.7
North West,Mean,Full Time Workers,Weekly pay - gross,Value,11363.3
Pendle,Mean,Full Time Workers,Weekly pay - gross,Confidence,101.8
Pendle,Mean,Full Time Workers,Weekly pay - gross,Value,10434.9
Preston,Mean,Full Time Workers,Weekly pay - gross,Confidence,84.1
Preston,Mean,Full Time Workers,Weekly pay - gross,Value,10770.1
Ribble Valley,Mean,Full Time Workers,Weekly pay - gross,Confidence,112.7
Ribble Valley,Mean,Full Time Workers,Weekly pay - gross,Value,12902.4
Rossendale,Mean,Full Time Workers,Weekly pay - gross,Confidence,107.3
Rossendale,Mean,Full Time Workers,Weekly pay - gross,Value,10949.9
South Ribble,Mean,Full Time Workers,Weekly pay - gross,Confidence,93.1
South Ribble,Mean,Full Time Workers,Weekly pay - gross,Value,11399.1
West Lancashire,Mean,Full Time Workers,Weekly pay - gross,Confidence,79.9
West Lancashire,Mean,Full Time Workers,Weekly pay - gross,Value,11649.9
Wyre,Mean,Full Time Workers,Weekly pay - gross,Confidence,87.3
Wyre,Mean,Full Time Workers,Weekly pay - gross,Value,10995.7
Blackburn with Darwen,Mean,Male,Annual pay - gross,Confidence,113.5
Blackburn with Darwen,Mean,Male,Annual pay - gross,Value,470293
Blackpool,Mean,Male,Annual pay - gross,Confidence,159.6
Blackpool,Mean,Male,Annual pay - gross,Value,432331
Burnley,Mean,Male,Annual pay - gross,Confidence,140
Burnley,Mean,Male,Annual pay - gross,Value,479895
Chorley,Mean,Male,Annual pay - gross,Confidence,163.6
Chorley,Mean,Male,Annual pay - gross,Value,575101
Fylde,Mean,Male,Annual pay - gross,Confidence,178.5
Fylde,Mean,Male,Annual pay - gross,Value,701049
Great Britain,Mean,Male,Annual pay - gross,Confidence,14.1
Great Britain,Mean,Male,Annual pay - gross,Value,668949
Hyndburn,Mean,Male,Annual pay - gross,Confidence,185.2
Hyndburn,Mean,Male,Annual pay - gross,Value,511936
Lancaster,Mean,Male,Annual pay - gross,Confidence,140.6
Lancaster,Mean,Male,Annual pay - gross,Value,585143
North West,Mean,Male,Annual pay - gross,Confidence,25.9
North West,Mean,Male,Annual pay - gross,Value,593114
Pendle,Mean,Male,Annual pay - gross,Confidence,180.9
Pendle,Mean,Male,Annual pay - gross,Value,494670
Preston,Mean,Male,Annual pay - gross,Confidence,160
Preston,Mean,Male,Annual pay - gross,Value,545410
Ribble Valley,Mean,Male,Annual pay - gross,Confidence,168.9
Ribble Valley,Mean,Male,Annual pay - gross,Value,585549
Rossendale,Mean,Male,Annual pay - gross,Confidence,165.1
Rossendale,Mean,Male,Annual pay - gross,Value,496527
South Ribble,Mean,Male,Annual pay - gross,Confidence,172.2
South Ribble,Mean,Male,Annual pay - gross,Value,591998
West Lancashire,Mean,Male,Annual pay - gross,Confidence,174.4
West Lancashire,Mean,Male,Annual pay - gross,Value,571628
Wyre,Mean,Male,Annual pay - gross,Confidence,171.3
Wyre,Mean,Male,Annual pay - gross,Value,528427
Blackburn with Darwen,Mean,Male,Hourly pay - gross,Confidence,78.7
Blackburn with Darwen,Mean,Male,Hourly pay - gross,Value,251.11
Blackpool,Mean,Male,Hourly pay - gross,Confidence,89.8
Blackpool,Mean,Male,Hourly pay - gross,Value,228.25
Burnley,Mean,Male,Hourly pay - gross,Confidence,105.4
Burnley,Mean,Male,Hourly pay - gross,Value,261.73
Chorley,Mean,Male,Hourly pay - gross,Confidence,92
Chorley,Mean,Male,Hourly pay - gross,Value,306.74
Fylde,Mean,Male,Hourly pay - gross,Confidence,130.6
Fylde,Mean,Male,Hourly pay - gross,Value,353.19
Great Britain,Mean,Male,Hourly pay - gross,Confidence,6
Great Britain,Mean,Male,Hourly pay - gross,Value,329.23
Hyndburn,Mean,Male,Hourly pay - gross,Confidence,123.9
Hyndburn,Mean,Male,Hourly pay - gross,Value,265.75
Lancaster,Mean,Male,Hourly pay - gross,Confidence,91.7
Lancaster,Mean,Male,Hourly pay - gross,Value,294.85
North West,Mean,Male,Hourly pay - gross,Confidence,16.5
North West,Mean,Male,Hourly pay - gross,Value,301.72
Pendle,Mean,Male,Hourly pay - gross,Confidence,124.5
Pendle,Mean,Male,Hourly pay - gross,Value,268.12
Preston,Mean,Male,Hourly pay - gross,Confidence,104.8
Preston,Mean,Male,Hourly pay - gross,Value,279.7
Ribble Valley,Mean,Male,Hourly pay - gross,Confidence,153.4
Ribble Valley,Mean,Male,Hourly pay - gross,Value,354.43
Rossendale,Mean,Male,Hourly pay - gross,Confidence,139.6
Rossendale,Mean,Male,Hourly pay - gross,Value,279.38
South Ribble,Mean,Male,Hourly pay - gross,Confidence,132.9
South Ribble,Mean,Male,Hourly pay - gross,Value,308.86
West Lancashire,Mean,Male,Hourly pay - gross,Confidence,110.3
West Lancashire,Mean,Male,Hourly pay - gross,Value,306.07
Wyre,Mean,Male,Hourly pay - gross,Confidence,128.8
Wyre,Mean,Male,Hourly pay - gross,Value,295.17
Blackburn with Darwen,Mean,Male,Weekly pay - gross,Confidence,89.1
Blackburn with Darwen,Mean,Male,Weekly pay - gross,Value,9155.6
Blackpool,Mean,Male,Weekly pay - gross,Confidence,104.5
Blackpool,Mean,Male,Weekly pay - gross,Value,8148.4
Burnley,Mean,Male,Weekly pay - gross,Confidence,111.8
Burnley,Mean,Male,Weekly pay - gross,Value,9821.1
Chorley,Mean,Male,Weekly pay - gross,Confidence,102.2
Chorley,Mean,Male,Weekly pay - gross,Value,11030.5
Fylde,Mean,Male,Weekly pay - gross,Confidence,139.7
Fylde,Mean,Male,Weekly pay - gross,Value,12918.8
Great Britain,Mean,Male,Weekly pay - gross,Confidence,6.1
