Local Authority,Statistics,Sex,Pay Type,Attribute,Sum of Value
Fylde,10 percentile,Full Time Workers,Weekly pay - gross,Confidence,103.9
Fylde,10 percentile,Full Time Workers,Weekly pay - gross,Value,5942.2
Great Britain,10 percentile,Full Time Workers,Weekly pay - gross,Confidence,3.1
Great Britain,10 percentile,Full Time Workers,Weekly pay - gross,Value,6069.9
Hyndburn,10 percentile,Full Time Workers,Weekly pay - gross,Confidence,88.2
Hyndburn,10 percentile,Full Time Workers,Weekly pay - gross,Value,5574.8
Lancaster,10 percentile,Full Time Workers,Weekly pay - gross,Confidence,66.4
Lancaster,10 percentile,Full Time Workers,Weekly pay - gross,Value,5815.9
North West,10 percentile,Full Time Workers,Weekly pay - gross,Confidence,8.6
North West,10 percentile,Full Time Workers,Weekly pay - gross,Value,5879
Pendle,10 percentile,Full Time Workers,Weekly pay - gross,Confidence,89.2
Pendle,10 percentile,Full Time Workers,Weekly pay - gross,Value,5507.5
Preston,10 percentile,Full Time Workers,Weekly pay - gross,Confidence,67.2
Preston,10 percentile,Full Time Workers,Weekly pay - gross,Value,5725.5
Ribble Valley,10 percentile,Full Time Workers,Weekly pay - gross,Confidence,114.4
Ribble Valley,10 percentile,Full Time Workers,Weekly pay - gross,Value,6135.8
Rossendale,10 percentile,Full Time Workers,Weekly pay - gross,Confidence,86.1
Rossendale,10 percentile,Full Time Workers,Weekly pay - gross,Value,5811.5
South Ribble,10 percentile,Full Time Workers,Weekly pay - gross,Confidence,69
South Ribble,10 percentile,Full Time Workers,Weekly pay - gross,Value,5927.8
West Lancashire,10 percentile,Full Time Workers,Weekly pay - gross,Confidence,80.8
West Lancashire,10 percentile,Full Time Workers,Weekly pay - gross,Value,5961.3
Wyre,10 percentile,Full Time Workers,Weekly pay - gross,Confidence,85.5
Wyre,10 percentile,Full Time Workers,Weekly pay - gross,Value,5672.8
Blackburn with Darwen,10 percentile,Male,Annual pay - gross,Confidence,152
Blackburn with Darwen,10 percentile,Male,Annual pay - gross,Value,114051
Blackpool,10 percentile,Male,Annual pay - gross,Confidence,53
Blackpool,10 percentile,Male,Annual pay - gross,Value,28027
Burnley,10 percentile,Male,Annual pay - gross,Confidence,145
Burnley,10 percentile,Male,Annual pay - gross,Value,115660
Great Britain,10 percentile,Male,Annual pay - gross,Confidence,28.2
Great Britain,10 percentile,Male,Annual pay - gross,Value,231786
