indicator,local_authority,year,forecast,lower_95,upper_95,trend_slope
pct_waste_recycled,Preston,2025,0.2820476190476189,0.23353428335983542,0.3305609547354023,-0.005760714285714285
pct_waste_recycled,Preston,2026,0.2762869047619052,0.22777356907412175,0.32480024044968864,-0.005760714285714285
pct_waste_recycled,Preston,2027,0.27052619047618975,0.2220128547884063,0.3190395261639732,-0.005760714285714285
pct_waste_recycled,Ribble Valley,2025,0.3492571428571427,0.29179674016682633,0.4067175455474591,-0.002742857142857143
pct_waste_recycled,Ribble Valley,2026,0.346514285714286,0.2890538830239696,0.4039746884046024,-0.002742857142857143
pct_waste_recycled,Ribble Valley,2027,0.3437714285714284,0.286311025881112,0.4012318312617448,-0.002742857142857143
pct_waste_recycled,Rossendale,2025,0.2998095238095235,0.27263155266457717,0.3269874949544699,-0.0036071428571428565
pct_waste_recycled,Rossendale,2026,0.29620238095238083,0.2690244098074345,0.3233803520973272,-0.0036071428571428565
pct_waste_recycled,Rossendale,2027,0.29259523809523813,0.2654172669502918,0.3197732092401845,-0.0036071428571428565
pct_waste_recycled,West Lancashire,2025,0.4496095238095237,0.4162179490504787,0.48300109856856865,-0.0009821428571428566
pct_waste_recycled,West Lancashire,2026,0.44862738095238086,0.4152358061933359,0.48201895571142583,-0.0009821428571428566
pct_waste_recycled,West Lancashire,2027,0.4476452380952378,0.41425366333619285,0.4810368128542828,-0.0009821428571428566
pct_waste_recycled,Wyre,2025,0.40968571428571465,0.36543550639166433,0.453935922179765,-0.005789285714285712
pct_waste_recycled,Wyre,2026,0.4038964285714286,0.3596462206773783,0.4481466364654789,-0.005789285714285712
pct_waste_recycled,Wyre,2027,0.39810714285714255,0.35385693496309223,0.44235735075119287,-0.005789285714285712
post16_18_positive_destination_pct,Blackburn with Darwen,2023,43.98600589811849,42.27076516376201,45.70124663247498,0.9475771479445386
post16_18_positive_destination_pct,Blackburn with Darwen,2024,44.93358304606295,43.218342311706465,46.648823780419434,0.9475771479445386
post16_18_positive_destination_pct,Blackburn with Darwen,2025,45.881160194007634,44.16591945965115,47.59640092836412,0.9475771479445386
post16_18_positive_destination_pct,Blackpool,2023,57.29366831654943,53.7185312153667,60.868805417732155,1.9082276157634066
post16_18_positive_destination_pct,Blackpool,2024,59.20189593231271,55.62675883112998,62.777033033495435,1.9082276157634066
post16_18_positive_destination_pct,Blackpool,2025,61.110123548076444,57.53498644689372,64.68526064925916,1.9082276157634066
